timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 20:41:18.151, 27542 MiB, 4565 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 499.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:41:48.162, 27542 MiB, 4565 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 564.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:42:18.173, 27542 MiB, 4565 MiB, 99 %, 32 %, 80, 2805 MHz, 3090 MHz, 563.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:42:48.185, 27542 MiB, 4565 MiB, 99 %, 31 %, 83, 2805 MHz, 3090 MHz, 564.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:43:18.196, 27542 MiB, 4565 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 564.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:43:48.207, 27542 MiB, 4565 MiB, 90 %, 38 %, 79, 2812 MHz, 3090 MHz, 559.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:44:18.220, 27542 MiB, 4565 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 563.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:44:48.232, 27542 MiB, 4565 MiB, 81 %, 37 %, 81, 2812 MHz, 3090 MHz, 559.19 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:45:18.244, 27542 MiB, 4565 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 563.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:45:48.257, 27542 MiB, 4565 MiB, 98 %, 26 %, 81, 2812 MHz, 3090 MHz, 562.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:46:18.269, 27542 MiB, 4565 MiB, 99 %, 31 %, 83, 2820 MHz, 3090 MHz, 567.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:46:48.281, 27542 MiB, 4565 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 494.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:47:18.293, 27542 MiB, 4565 MiB, 99 %, 31 %, 83, 2805 MHz, 3090 MHz, 567.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:47:48.303, 27542 MiB, 4565 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 563.64 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:48:18.315, 27542 MiB, 4565 MiB, 84 %, 28 %, 83, 2812 MHz, 3090 MHz, 517.82 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:48:48.327, 27542 MiB, 4565 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 563.96 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:49:18.340, 27542 MiB, 4565 MiB, 83 %, 28 %, 83, 2812 MHz, 3090 MHz, 556.69 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:49:48.352, 27542 MiB, 4565 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 563.51 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:50:18.363, 27542 MiB, 4565 MiB, 97 %, 22 %, 81, 2820 MHz, 3090 MHz, 561.34 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:50:48.375, 27542 MiB, 4565 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 563.32 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:51:18.387, 27542 MiB, 4565 MiB, 97 %, 24 %, 79, 2812 MHz, 3090 MHz, 563.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:51:48.399, 27542 MiB, 4565 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 564.67 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:52:18.411, 27542 MiB, 4565 MiB, 99 %, 32 %, 81, 2805 MHz, 3090 MHz, 564.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:52:48.422, 27542 MiB, 4565 MiB, 96 %, 31 %, 81, 2812 MHz, 3090 MHz, 566.47 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 20:53:18.433, 27542 MiB, 4565 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 565.21 W, P1, 0x0000000000000004, Not Active, Active
